numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
1,Apartamentos,145,3,5,2,"R$ 1,950,000","R$ 13,448.28",Alphaville,Avenida Luís Viana Filho,Morada dos Príncipes | 145m²  O Imóvel:  * Área Íntima: 3 suítes; com destaque para a master com varanda privativa. * Social: Living ampliado e integrado à varanda gourmet (fechamento em Reiki). * Serviço: Lavabo; área de serviço e dependência completa. * Conveniência: 02 vagas de garagem + depósito,1
2,Apartamentos,141,4,4,2,"R$ 1,650,000","R$ 11,702.13",Alphaville,Avenida Luís Viana Filho,Imóvel localizado na Av. Paralela com 141 m²; 4 quartos sendo 2 suites e 4 banheiros. Possui área fitness; espaço gourmet; jardim; playground. Vai lhe possibilitar curtir os dias mais quentes na piscina; praticar diversos esportes na quadra poliesportiva. Espaço reservado para preparar o seu churras,1
3,Apartamentos,103,4,3,2,"R$ 2,000,000","R$ 19,417.48",Alphaville,Avenida Alphaville,4/4; sendo uma suíte; nascente; 2 vagas soltas e cobertas; dependência revertida; sanitário de serviço; andar alto; ventilado; varanda com reike; armários embutidos; churrasqueira na varanda; porcelanato. Academia com personal; Pilates; hidroginástica incluso no condomínio.  Infraestrutura; Piscina ,1
4,Apartamentos,80,3,,1,"R$ 540,000","R$ 6,750.00",Alphaville,,Apartamento 3 quartos à venda no bairro Pituba em Salvador. Apartamento com 80m²; 1 suíte; 2 banheiros e 1 vaga por R$540.000;00. ID 353263612. Confira agora o apartamento!,0
5,Apartamentos,158,3,,3,"R$ 1,195,000","R$ 7,563.29",Alphaville,,Apartamento 3 quartos à venda no bairro Pituba em Salvador. Apartamento com 158m²; 3 suítes; 2 banheiros e 3 vagas por R$1.195.000;00. ID 353263601. Confira agora o apartamento!,1
6,Apartamentos,80,2,,2,"R$ 450,000","R$ 5,625.00",Alphaville,,Apartamento 2 quartos à venda no bairro Pituba em Salvador. Apartamento com 80m²; 2 suítes; 2 banheiros e 2 vagas por R$450.000;00. ID 353263594. Confira agora o apartamento!,0
7,Apartamentos,136,3,5,4,"R$ 1,200,000","R$ 8,823.53",Alphaville,Avenida Luís Viana Filho,💎Ville Vert Alphaville 1  🔸136;00m2 🔸3/4 sendo todos suítes 🔸2 Sala ampla  🔸2 Varandas  🔸Sanitário social e Lavabo 🔸Cozinha ampla 🔸Área de serviço 🔸Banheiro de serviço 🔸Vista livre para Alphaville  🔸Piscina; Academia ; salão de festas ; salão de jogos ; brinquedoteca; portaria 24 hr . 🔸04 Vagas de g,1
8,Apartamentos,140,4,,3,"R$ 950,000","R$ 6,785.71",Alphaville,,Apartamento 4 quartos à venda no bairro Pituba em Salvador. Apartamento com 140m²; 3 suítes; 2 banheiros e 3 vagas por R$950.000;00. ID 353263671. Confira agora o apartamento!,1
9,Apartamentos,47,1,1,1,"R$ 455,000","R$ 9,680.85",Alphaville,,0ALPHAVILLE | HELBOR COSMOPOLITAN HOME STAY & OFFICES  APARTAMENTO  01 Dormitório 01 Banheiro Cozinha Americana Sala 47;08m² Andar alto Vista livre para paralela Varanda ampla 01 vaga de garagem coberta  CONDOMÍNIO | INFRAESTRUTURA Piscina com deck Academia Salão de festas Espaço gourmet Hidromassag,0
10,Apartamentos,80,2,3,1,"R$ 920,000","R$ 11,500.00",Alphaville,Avenida Luís Viana Filho,Oportunidade de morar em um dos endereços mais valorizados de Salvador: Alphaville.  Apartamento de 80m²; ideal para quem busca a segurança e a organização do bairro; com uma planta funcional e espaçosa.  CARACTERÍSTICAS DO IMÓVEL:  Área: 80m² privativos (planta ampla para um 2 quartos).  Configuraç,0
11,Apartamentos,110000,3,,2,"R$ 630,000",R$ 5.73,Alphaville,,Apartamento 3 quartos à venda no bairro Caminho das Árvores em Salvador. Apartamento com 110000m²; 1 suíte; 2 banheiros e 2 vagas por R$630.000;00. ID 353341068. Confira agora o apartamento!,0
12,Apartamentos,40,1,,2,"R$ 320,000","R$ 8,000.00",Alphaville,,Apartamento 1 quarto à venda no bairro Pituba em Salvador. Apartamento com 40m²; 1 banheiro e 2 vagas por R$320.000;00. ID 353263588. Confira agora o apartamento!,0
13,Apartamentos,78,2,,1,"R$ 370,000","R$ 4,743.59",Alphaville,,Apartamento 2 quartos à venda no bairro Costa Azul em Salvador. Apartamento com 78m²; 1 suíte; 1 banheiro e 1 vaga por R$370.000;00. ID 353263596. Confira agora o apartamento!,0
14,Apartamentos,240,8,,4,"R$ 2,350,000","R$ 9,791.67",Alphaville,,Apartamento 8 quartos à venda no bairro Horto em Salvador. Apartamento com 240m²; 4 suítes; 2 banheiros e 4 vagas por R$2.350.000;00. ID 353263613. Confira agora o apartamento!,0
15,Apartamentos,48,1,1,1,"R$ 390,000","R$ 8,125.00",Alphaville,Avenida Luís Viana Filho,Descubra o conforto e a praticidade de viver em um apartamento de 48 m²; projetado para otimizar cada centímetro e proporcionar uma experiência de moradia moderna. Ao entrar; você é recebido por uma cozinha americana integrada; com móveis planejados de alto padrão que unem funcionalidade e design; i,0
16,Apartamentos,224,4,6,4,"R$ 3,100,000","R$ 13,839.29",Alphaville,Avenida Alphaville,MANSÃO BELÁGIO ALPHAVILLE  224M² 4 SUÍTES 1 POR ANDAR NASCENTE 4 VAGAS DE GARAGEM PISO 1X1 EM TODO APARTAMENTO VARANDA GOURMET ALTO PADRÃO PREPARAÇÃO DE AR EM TODOS AMBIENTES COZINHA AMPLA VARANDA NA SUÍTE MASTER  CONDOMÍNIO:  PORTARIA 24hrs MINI QUADRA ESPAÇO GOURMET PISCINA ACADEMIA SALÃO DE FESTA,0
17,Apartamentos,148,3,,2,"R$ 1,070,000","R$ 7,229.73",Alphaville,,Apartamento 3 quartos à venda no bairro Caminho das Árvores em Salvador. Apartamento com 148m²; 3 suítes; 2 banheiros e 2 vagas por R$1.070.000;00. ID 353263663. Confira agora o apartamento!,1
18,Apartamentos,51,1,1,1,"R$ 560,000","R$ 10,980.39",Alphaville,Avenida Alphaville,Venha morar no apartamento dos seus sonhos! Localizado em um dos bairros mais charmosos e valorizados da cidade; este imóvel conta com 1 quarto espaçoso e confortavel; sala aconchegante; 1 vaga privativa de garagem e uma área privativa de 51;00 m2.   Além disso; o apartamento possui vista livre; e u,0
19,Apartamentos,70,2,2,1,"R$ 798,900","R$ 11,412.86",Alphaville,Avenida Alphaville,O imóvel está localizado no bairro Alphaville I Salvador; possui 78 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros; sala; cozinha; área de serviço; varanda; e 1 vaga de garagem; além de armários em vários ambientes. O condomínio possui total segurança como; portaria 24 horas; infra de la,0
20,Apartamentos,74,4,,1,"R$ 550,000","R$ 7,432.43",Alphaville,,Apartamento 4 quartos à venda no bairro Jaguaribe em Salvador. Apartamento com 74m²; 1 suíte; 2 banheiros e 1 vaga por R$550.000;00. ID 353262995. Confira agora o apartamento!,0
21,Apartamentos,530,4,6,4,"R$ 4,200,000","R$ 7,924.53",Alphaville,Rua das Alpinéas,O imóvel está localizado no bairro Alphaville II tem 530 metros quadrados com 4 quartos sendo 4 suites e 6 banheiros Possui academia; espaço gourmet; salão de festas; playground; jardim. Vai lhe possibilitar curtir os dias mais quentes na piscina; praticar diversos esportes na quadra poliesportiva; ,0
22,Apartamentos,88,2,2,1,"R$ 950,000","R$ 10,795.45",Alphaville,,[ALPHAVILLE I] Condomínio Laguna disponível para venda. Agende sua visita!   Av. Alphaville; 507 - Alphaville I; Salvador - BA; 41701-015  88m²; 2 Quartos; Suíte; Suíte master com closet; Sala ampliada; Varanda integrada; Cozinha; Climatizado; Móveis planejados; Andar alto; Área de serviço; 1 Vaga d,0
23,Apartamentos,135,3,5,4,"R$ 1,495,000","R$ 11,074.07",Alphaville,Avenida Luís Viana Filho,APARTAMENTO ALPHAVILLE SALVADOR | 135m ² | 3 SUÍTES | ANDAR INTERMEDIÁRIO | 4 VAGAS  Norte/sul 135 m²  3/4 com 3 suítes;  Varanda na sala e na suíte Sala com piso em porcelanato e projeto de iluminação Despensa Lavabo Cozinha e quartos com armários planejados Área de serviço 4 vagas de garagem   Áre,1
24,Apartamentos,96,3,,1,"R$ 550,000","R$ 5,729.17",Alphaville,,Apartamento 3 quartos à venda no bairro Pituba em Salvador. Apartamento com 96m²; 1 suíte; 2 banheiros e 1 vaga por R$550.000;00. ID 353263611. Confira agora o apartamento!,0
25,Apartamentos,135,3,,2,"R$ 594,000","R$ 4,400.00",Alphaville,,Apartamento 3 quartos à venda no bairro Barra em Salvador. Apartamento com 135m²; 1 suíte; 2 banheiros e 2 vagas por R$594.000;00. ID 353263599. Confira agora o apartamento!,0
26,Apartamentos,84,2,2,2,"R$ 990,000","R$ 11,785.71",Alphaville,,[ALPHAVILLE I] Apartamento disponível para venda. Agende sua visita   Av. Alphaville - Alphaville ISalvador - BA; 41701-015  84m²; 2 Quartos (reversível para 3); 1 Suíte; Home Office; Varanda gourmet; Sala; Nascente; Ventilação natural; Adega; Móveis planejados; Projeto de iluminação; Fino acabament,0
27,Apartamentos,70,3,,1,"R$ 380,000","R$ 5,428.57",Alphaville,,Apartamento 3 quartos à venda no bairro Candeal em Salvador. Apartamento com 70m²; 1 suíte; 2 banheiros e 1 vaga por R$380.000;00. ID 353341071. Confira agora o apartamento!,0
28,Apartamentos,80,3,,2,"R$ 450,000","R$ 5,625.00",Alphaville,,Apartamento 3 quartos à venda no bairro Pituba em Salvador. Apartamento com 80m²; 1 suíte; 2 banheiros e 2 vagas por R$450.000;00. ID 353263597. Confira agora o apartamento!,0
29,Apartamentos,76,2,3,1,"R$ 815,000","R$ 10,723.68",Alphaville,Avenida Luís Viana Filho,Alpha Class – Alphaville Salvador I Apartamento Alto Padrão com 2 Suítes e Lavabo  Oportunidade única de morar com conforto; sofisticação e localização privilegiada! Este apartamento totalmente reformado; com 68m²; oferece o equilíbrio ideal entre elegância e praticidade.  Destaques do Imóvel:  • 2 ,0
30,Apartamentos,96,3,,2,"R$ 580,000","R$ 6,041.67",Alphaville,,Apartamento 3 quartos à venda no bairro Pituba em Salvador. Apartamento com 96m²; 1 suíte; 2 banheiros e 2 vagas por R$580.000;00. ID 353341072. Confira agora o apartamento!,0
31,Apartamentos,130,3,,1,"R$ 430,000","R$ 3,307.69",Alphaville,,Apartamento 3 quartos à venda no bairro Pituba em Salvador. Apartamento com 130m²; 1 suíte; 2 banheiros e 1 vaga por R$430.000;00. ID 353263659. Confira agora o apartamento!,1
32,Apartamentos,96,4,,2,"R$ 480,000","R$ 5,000.00",Alphaville,,Apartamento 4 quartos à venda no bairro Pituba em Salvador. Apartamento com 96m²; 1 suíte; 2 banheiros e 2 vagas por R$480.000;00. ID 353341073. Confira agora o apartamento!,0
33,Apartamentos,56,3,,2,"R$ 550,000","R$ 9,821.43",Alphaville,,Apartamento 3 quartos à venda no bairro Pituba em Salvador. Apartamento com 56m²; 1 suíte; 2 banheiros e 2 vagas por R$550.000;00. ID 353263609. Confira agora o apartamento!,0
34,Apartamentos,145,4,5,2,"R$ 2,280,000","R$ 15,724.14",Alphaville,Avenida Luís Viana Filho,Alphaville I | 142 m2 | 4 Quartos   💵 Apartamento à Venda  🏛️ Condomínio Morada dos Príncipes  ▪️3 Suítes  ▪️2 Vagas de Garagem ▪️1 Depósito  ▪️Nascente Total ▪️Andar Intermediário  📋Condomínio: R$ 1.650;00/mês 📄IPTU: R$ 430;00/mês  💰R$ 2.280.000;00,1
35,Apartamentos,60,2,,1,"R$ 390,000","R$ 6,500.00",Alphaville,,Apartamento 2 quartos à venda no bairro Pituba em Salvador. Apartamento com 60m²; 2 suítes; 1 banheiro e 1 vaga por R$390.000;00. ID 353263640. Confira agora o apartamento!,0
36,Apartamentos,129,3,4,2,"R$ 1,980,000","R$ 15,348.84",Alphaville,,[ALPHAVILLE] Alphalife Residence disponível para venda. Agende sua visita!   Av. Alphaville; 634 - Alphaville I; Salvador - BA; 41701-015  129m²; 3 Quartos; 3 Suítes; Suíte master com closet; Varanda gourmet; Sala ampla; Fino acabamento; Decorado; Móveis planejados; Climatizado; Lavabo; Área de serv,1
37,Apartamentos,80,3,,2,"R$ 450,000","R$ 5,625.00",Alphaville,,Apartamento 3 quartos à venda no bairro Pituba em Salvador. Apartamento com 80m²; 1 suíte; 2 banheiros e 2 vagas por R$450.000;00. ID 353341069. Confira agora o apartamento!,0
